migration_name	checksum	status	applied_steps_count	occurrence
0_init	5fd5bdf26be3744fd5588b7a6d6c84242fa99a5e9a6d48729fdb3a83faeaa92f	SUCCEEDED	1	1
1_ai_draft	681aa8aab635e9e18424f6e5c4885ba774ce089ce2bbabc557ef10d2cdf7b6cf	SUCCEEDED	1	1
2_telegram_turn	8827b9ac1372d9a92732655f53578dbf6d7a3bd1cbe5c6bc9c5cdaa8a21c1a02	SUCCEEDED	1	1
3_telegram_pending	a02174c1ae88d3fbd1f7be49a47de5d41d01de435ecbd4e69351bce29884ef0a	SUCCEEDED	1	1
4_more_agent_kinds	0d4db1b0ab37c214928284705a5914db146b60c40a852ae666f15df691c3255e	SUCCEEDED	1	1
5_vault_rag	422d5f5cd94d354aa6fed43f78e0991d29cb6d191d19ded36aabe19e5d3dfde4	SUCCEEDED	1	1
6_release_note	0c368c14a15c33e9fb58695c403712ecbe18640420c53c0e329a72a4906cce52	SUCCEEDED	1	1
7_bug_report_kind	79a6f169102ce88e9c09a87b2e54999597c4f5497ef6b2f773fa750604b89ff9	SUCCEEDED	1	1
8_metric_daily	5fcb4802aa6fa20c637847d470734a0a48716712bfcfba0db51f09e67cf86ad9	SUCCEEDED	1	1
9_metric_breakdowns	58e536d55eb9062cbe937e31a81300fc5927e7d6746fa1e9f48c97ce5f4b1790	SUCCEEDED	1	1
10_crossword_metric_daily	090554ae89dde1e16aa2efd6e4b0c0ecb19613ebd9f76c7f370198556cb0bc9b	SUCCEEDED	1	1
11_content_metrics	084a377249a60d8d3ab5276de0ddd07d1cdc933eca553b3d81df0de9492c2766	SUCCEEDED	1	1
12_content_metric_daily	770a4b23c7841208a7ca0c28094b7abc8221fbd6a38dfef6d0bea059158e1355	SUCCEEDED	1	1
13_unified_content_metrics	cd28ea80455dad3b7c992791db40c9ecf30c98f5b2a3bf19b309f59cbc32c4bc	ROLLED_BACK	0	1
13_unified_content_metrics	3b71117a4cab32f91c24821d88c52017cc39e068f13f5a6a58501441566eea7f	SUCCEEDED	1	2
14_release_note_i18n	cdcf9d6b695172f785b93dcba920bfa7f229775be10a8a92e6a54c4900e54061	SUCCEEDED	1	1
15_console_metric_daily	c14d43dd006cbe119a8b422e05b56ab00ab0ddf264da4c68201e405624f52e75	SUCCEEDED	1	1
16_deploy_completion_notifications	ac01a978ffc8f5195383738fd17c56856475e8efc8b9a3bfef9305e702f0f6ce	SUCCEEDED	1	1
17_app_ops_manifest	c172a09c2ac4aaf5423f77349514d6934fc6bcc1fded81c0d63a2017a7396116	SUCCEEDED	1	1
18_app_ops_worker_queue	1b913db7e8474b4bf7437e1a6618ffa975412b0e43596f22c55118debd4f66dc	SUCCEEDED	1	1
19_split_ad_metrics	b03b6c365703a3c2a9c03ba5435709913c080997786fc64409a47882fe619014	SUCCEEDED	1	1
18_console_metric_listing	d227ac9604a3dadcd8a0fd483afa3cdda3867e18d77901e25b3855e15014f67c	SUCCEEDED	8	1
10_platform_user_metric_sample	2963877c84962edcd889837ba58a7077d96d215d083c00ccd4b2eff947e54fc7	SUCCEEDED	1	1
20_discord_operational_notifications	6f3fb7ae5f62ee879919e69bf2fa74de0ac5c20c251d319fb3d0356e16c3e4ce	SUCCEEDED	1	1
21_discord_command_incidents	1447c5b4735c564bdfc742cd9a137a638150e5a069153d0f52d49e3d8c414009	ROLLED_BACK	0	1
21_discord_command_incidents	22c333b4e234d1c4cc6425a284b629cb43bf9b97507e37c479ff6d997b6bbeac	SUCCEEDED	0	2
22_store_review_notifications	51223cbbff6d4d6a4defa801ef3506a7b912c7a73f659537cc6050f4c61dd29c	SUCCEEDED	1	1
23_identity_signup_summary	3d1c51e074c8f8f34a7446b97b94d001885d07507976519c36aed71ea16cee5c	SUCCEEDED	1	1
24_drop_telegram_legacy	fc43b1330c5d6e470c655bd8ded801338f16d31bc717611749a55ad927ac2f51	SUCCEEDED	1	1
25_identity_thread_rows	2945373f85367bef76afeb17bb170205d23183bce88a8e0195bbfea16c194bcc	SUCCEEDED	1	1
26_discord_turn_teammate	88f3edb9954afd23c31e02fe2163274e5f1fdcfffcb70e379940de011e1b4abb	SUCCEEDED	1	1
27_teammate_runs	7ffe62ce2426b724ecf5f0f3da32bcd4ef3c15c4d25e8991b5015199ba46cc97	SUCCEEDED	1	1
28_ai_usage	bcedf7d0bb497aae8cbb98c2f5c8ff3e988c4bbc1ef57309b9c0ac7f77ad6662	SUCCEEDED	1	1
29_teammate_run_payload	fa14fb363858c4cebd48ac28cda1d26efc8af86ab50ed2c7ef94f40f032746b7	SUCCEEDED	1	1
30_app_owner_teammate	19435bb3fba6ae41e6102ca2c9e39891c30bc60c44ed9d7fd99609169f2633b5	SUCCEEDED	1	1
31_teammate_care_modes	391dd17a88b2693a07e10ddbf5255eb6bac56a177c73ea8fac567f5ec2e8b8bb	SUCCEEDED	1	1
32_platform_presence_session	1f3a94a217f0bddbe60ed8f538dbb62f491a957c6199774730f55e3a6cc95f8d	SUCCEEDED	1	1
33_platform_app_id_binding	e52ceb55d44bca22fe9ac0ece1891cfb3967ec4119998314151ca6804843f9a4	SUCCEEDED	1	1
34_play_internal_test_url	09aeaa7eb9467027d6f765034944419136f0287650b24862f6475801e17189cc	SUCCEEDED	1	1
35_fleet_control_plane	9046e55979941072585536b17f42c01aeaeddca7c0e30c231eb5739ae2304eb6	ROLLED_BACK	0	1
35_fleet_control_plane	5b146e67758a1aa9002363b766a0bad1965bbeb45a72d0bfe5bec63eea4b27a4	SUCCEEDED	1	2
36_fleet_operations_ui	aeb0f4032697d8270bf813fc64429b2b363f44cd3ea29efe004dc1630ce32155	SUCCEEDED	1	1
